system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
28875_0,12,719,1003,1012,1972,2220,1639,604
28876_0,11,426,717,746,1813,2381,1697,315
28877_0,0,343,341,107,42,31,21,291
28878_0,17,417,628,602,2061,1696,1187,335
28879_0,2,461,700,712,2572,1937,1301,368
28880_0,12,482,846,823,2558,3058,1918,384
28885_0,9,165,265,256,1212,908,510,120
28890_0,17,597,893,1126,1627,2702,2528,476
28894_0,12,425,728,937,1859,2585,1737,295
28895_0,9,90,212,212,955,823,458,33
28896_0,9,196,281,239,992,883,530,143
28898_0,17,678,944,1192,1822,2919,2882,525
28902_0,17,584,748,934,1501,2822,2343,501
28903_0,17,197,357,343,1255,1346,845,133
28904_0,0,284,322,243,125,61,47,276
28907_0,0,281,300,199,85,30,15,288
28909_0,0,371,271,102,47,28,17,384
28913_0,0,507,643,438,68,22,12,394
28918_0,9,4,107,95,355,361,216,-20
28921_0,17,304,508,431,2469,1282,695,274
28925_0,8,33,114,91,824,412,203,1
28928_0,0,201,151,73,40,30,22,216
28929_0,9,136,247,217,884,879,532,101
28931_0,12,313,548,607,1555,2125,1383,213
28933_0,12,322,654,583,2583,1902,1099,227
28935_0,12,409,710,749,2353,2736,1765,278
28936_0,4,461,734,866,1591,1243,1060,366
28937_0,17,282,355,407,583,1184,1111,233
28939_0,17,356,527,544,1527,1757,1388,310
28940_0,17,693,977,1203,1725,2586,2350,598
28943_0,0,382,440,235,63,31,18,338
28944_0,12,390,700,538,2500,1826,986,341
28945_0,8,75,190,102,2228,513,197,25
28946_0,17,563,737,806,1673,2411,1829,502
28947_0,17,328,572,384,3553,1811,877,307
28948_0,12,704,1033,1258,2434,3854,2927,566
28949_0,11,108,213,236,874,1201,772,63
28950_0,11,307,579,315,3009,1599,788,303
28952_0,12,499,954,1053,2939,3471,2131,360
28955_0,4,392,600,652,1789,1402,1151,293
28957_0,9,233,405,353,2081,1258,640,166
28959_0,4,499,670,656,1438,1179,912,414
28961_0,0,239,166,75,42,31,16,233
28963_0,0,566,702,520,88,20,10,481
28967_0,12,285,556,407,2579,1850,962,252
28968_0,8,70,148,108,1334,390,167,49
28973_0,11,276,444,455,1371,1794,1104,207
28975_0,11,232,496,558,1858,1928,1203,142
28976_0,11,226,407,361,2126,1049,637,161
28977_0,5,589,807,807,1229,991,732,474
28979_0,11,235,413,440,1747,1644,1004,138
28982_0,2,288,527,344,2394,1688,937,264
28983_0,5,1441,1795,2009,2208,2639,2493,1271
28986_0,9,177,342,346,1622,1259,713,113
28987_0,4,466,741,809,1770,1322,932,331
28988_0,12,485,690,717,1847,2720,1872,425
28989_0,5,1452,1882,1999,2166,1799,1398,1226
28993_0,8,90,178,154,1018,637,329,37
28995_0,3,528,847,859,2204,1937,1385,434
28997_0,8,167,321,239,2581,1148,496,117
28999_0,3,271,450,447,1975,1227,713,193
29001_0,12,514,769,636,2383,2775,1811,472
29004_0,0,208,157,74,46,31,22,230
29005_0,0,567,710,543,85,17,13,461
29007_0,0,354,255,99,49,20,11,365
29008_0,17,346,571,602,1330,1430,1041,273
29009_0,8,284,422,382,1570,1485,908,236
29010_0,4,567,815,931,1740,1417,1169,443
29013_0,11,105,212,194,864,836,522,63
29014_0,0,288,252,115,57,31,25,279
29015_0,4,406,722,777,1511,1315,1075,250
29017_0,17,865,1219,1386,2400,3068,2453,721
29019_0,12,302,780,563,3913,2465,1239,232
29020_0,8,114,222,146,1862,667,290,87
29021_0,4,573,798,880,1699,1552,1229,450
29022_0,0,183,373,218,282,72,75,179
29025_0,4,2494,2522,2515,3095,2762,1737,2280
29026_0,12,638,913,946,2209,2893,1881,531
29027_0,3,378,629,628,2424,1632,1088,306
29028_0,12,397,812,486,4412,2405,1246,363
29029_0,11,401,558,556,1730,2129,1328,364
29032_0,0,700,876,949,768,29,15,596
