system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
4454_0,8,16,47,38,224,130,65,-21
4460_0,9,180,302,182,2449,988,398,156
4461_0,8,62,147,85,1761,381,137,24
4463_0,2,555,807,888,1621,1976,1602,465
4465_0,4,521,623,666,1284,1040,846,453
4467_0,12,192,326,251,1582,993,510,169
4471_0,2,231,411,310,2046,1410,735,192
4472_0,16,398,567,510,1680,2313,1531,393
4474_0,11,248,449,494,1981,1961,1185,132
4475_0,17,553,700,861,1391,2555,2181,456
4476_0,0,380,330,109,54,27,9,341
4479_0,0,536,674,440,74,24,12,422
4481_0,12,569,902,1159,2237,3319,2166,381
4484_0,17,257,518,513,2649,1735,900,187
4485_0,17,356,495,613,920,1704,1490,296
4487_0,9,283,490,515,1567,1782,1073,179
4489_0,8,210,345,295,2189,1186,566,172
4490_0,11,141,307,316,1337,1147,679,60
4491_0,17,476,612,625,1175,1466,1137,441
4495_0,0,351,438,277,62,27,17,298
